student_id,age,gender,study_hours_per_day,sleep_hours,phone_usage_hours,social_media_hours,youtube_hours,gaming_hours,breaks_per_day,coffee_intake_mg,exercise_minutes,assignments_completed,attendance_percentage,stress_level,focus_score,final_grade,productivity_score,total_screen_time,sleep_quality,exercise_level,stress_category,focus_efficiency,lifestyle_balance_score
26,18,Male,9.69,5.91,5.46,4.4,2.07,4.02,10,67,113,14,89.64,8,62,96.26,68.64,15.95,Poor,High,High,6.398348813209495,-8.363333333333333
27,28,Male,2.94,3.58,4.32,2.91,0.66,1.17,9,186,70,1,69.88,8,99,96.1,43.84,9.06,Poor,High,High,33.673469387755105,-7.566666666666666
28,21,Male,1.85,6.14,11.05,3.65,3.23,4.12,4,171,33,0,43.56,5,97,77.43,33.48,22.05,Good,Medium,Moderate,52.43243243243243,-13.670000000000002
29,17,Male,0.73,6.89,9.83,0.87,1.7,0.97,13,261,109,3,59.49,4,31,53.44,14.94,13.37,Good,High,Moderate,42.465753424657535,0.04333333333333478
30,28,Female,4.1,8.97,3.58,4.02,0.06,4.15,3,475,17,11,61.87,7,93,58.8,62.43,11.809999999999999,Excellent,Low,Moderate,22.682926829268293,-0.303333333333331
31,26,Female,2.54,5.07,4.19,7.88,2.45,0.93,6,173,82,19,78.51,9,45,86.98,29.18,15.45,Poor,High,High,17.716535433070867,-11.576666666666664
32,22,Other,5.17,6.97,9.01,5.9,3.24,5.26,5,460,101,13,43.84,10,48,95.8,32.14,23.409999999999997,Good,High,High,9.284332688588007,-16.10333333333333
33,29,Female,5.48,3.47,5.38,7.42,4.65,5.53,10,266,80,0,94.18,4,31,74.72,39.03,22.980000000000004,Poor,High,Moderate,5.656934306569343,-17.373333333333335
34,28,Male,3.82,9.39,7.51,2.22,5.88,2.71,6,360,82,11,45.32,5,89,71.59,54.18,18.32,Excellent,High,Moderate,23.298429319371728,-1.8066666666666649
35,25,Female,7.62,6.16,2.29,3.06,5.2,0.92,14,490,55,6,62.81,7,31,74.61,52.21,11.47,Good,Medium,Moderate,4.0682414698162725,-4.316666666666666
36,17,Male,9.1,4.77,10.01,5.19,3.25,3.04,7,466,14,14,42.29,2,58,60.53,53.17,21.49,Poor,Low,Low,6.373626373626374,-13.483333333333333
37,27,Male,2.51,6.24,6.9,5.92,4.84,0.61,14,61,53,17,75.74,2,71,59.07,43.35,18.27,Good,Medium,Low,28.286852589641438,-6.023333333333333
38,27,Female,8.44,6.37,10.0,2.43,4.98,2.87,13,422,32,8,93.89,9,69,59.65,59.01,20.28,Good,Medium,High,8.175355450236967,-15.473333333333334
39,26,Female,1.75,8.2,8.72,2.78,5.8,2.72,1,414,64,19,92.55,9,36,46.07,26.24,20.02,Excellent,High,High,20.571428571428573,-10.486666666666668
40,28,Female,2.67,9.82,5.43,1.05,1.48,1.4,12,318,33,6,67.38,6,47,59.29,42.64,9.36,Excellent,Medium,Moderate,17.60299625468165,5.380000000000003
41,28,Male,5.83,4.3,8.33,5.43,1.51,3.99,5,450,66,13,52.89,4,37,71.49,33.27,19.259999999999998,Poor,High,Moderate,6.346483704974271,-12.459999999999997
42,19,Male,3.41,3.38,1.19,2.79,1.31,0.01,14,127,5,6,52.3,7,59,65.79,35.68,5.3,Poor,Low,Moderate,17.302052785923753,-5.373333333333333
43,28,Male,0.9,7.59,5.52,1.11,5.41,4.94,12,457,116,9,48.27,10,91,74.2,35.67,16.98,Good,High,High,101.11111111111111,-7.933333333333334
44,23,Male,3.3,9.19,5.51,5.07,4.1,0.95,2,79,118,2,73.23,9,39,61.97,38.65,15.629999999999999,Excellent,High,High,11.818181818181818,-2.3166666666666664
45,20,Male,9.1,6.96,5.34,0.1,0.84,1.04,8,412,20,7,52.2,4,84,92.62,74.5,7.319999999999999,Good,Low,Moderate,9.230769230769232,3.2666666666666666
46,25,Female,2.16,3.56,1.85,7.6,5.77,3.93,5,425,68,2,67.99,2,78,64.92,43.79,19.15,Poor,High,Low,36.11111111111111,-11.763333333333332
47,19,Female,7.76,5.95,6.1,5.13,3.63,4.43,11,498,26,5,98.35,10,50,63.07,54.75,19.29,Poor,Low,High,6.443298969072165,-16.523333333333333
48,21,Male,7.36,7.58,9.26,4.86,0.01,2.9,14,29,104,12,48.01,8,87,55.63,58.29,17.03,Good,High,High,11.820652173913043,-6.403333333333336
49,19,Female,1.51,5.3,4.21,5.18,2.62,3.27,1,458,71,9,60.08,3,96,46.26,45.33,15.280000000000001,Poor,High,Low,63.57615894039735,-5.313333333333334
50,23,Male,3.63,8.91,9.91,2.53,4.64,0.37,11,273,79,8,86.49,1,79,61.17,55.92,17.45,Excellent,High,Low,21.763085399449036,2.003333333333334
51,21,Other,2.3,4.57,7.23,1.87,1.86,4.19,11,120,78,8,63.72,9,51,91.56,21.43,15.150000000000002,Poor,High,High,22.17391304347826,-12.410000000000002
52,25,Male,0.72,5.55,8.83,4.29,4.03,3.82,11,65,9,17,73.9,2,32,55.21,17.71,20.970000000000002,Poor,Low,Low,44.44444444444444,-11.570000000000002
53,23,Female,2.14,9.42,10.82,7.55,4.31,0.92,6,443,60,4,42.01,1,60,43.31,36.04,23.6,Excellent,High,Low,28.037383177570092,-3.7600000000000016
54,18,Female,2.41,7.01,6.05,2.25,4.97,0.48,13,125,3,0,46.14,9,62,66.19,31.11,13.75,Good,Low,High,25.72614107883817,-8.63
55,20,Female,2.08,3.04,10.22,5.73,3.48,1.56,4,115,109,5,72.68,5,57,70.64,19.22,20.99,Poor,High,Moderate,27.403846153846153,-16.276666666666664
56,25,Male,1.37,4.71,2.11,7.79,1.15,0.36,5,224,110,3,43.86,3,51,40.48,29.34,11.41,Poor,High,Low,37.22627737226277,-1.3233333333333341
57,28,Female,5.5,8.27,9.45,4.4,5.05,1.72,6,366,17,7,92.0,5,93,51.04,64.12,20.619999999999997,Excellent,Low,Moderate,16.90909090909091,-8.513333333333332
58,18,Male,3.57,3.36,10.09,3.67,1.1,3.15,14,12,13,10,90.69,10,87,93.85,33.96,18.009999999999998,Poor,Low,High,24.369747899159666,-20.856666666666666
59,26,Male,9.13,9.95,10.89,5.98,2.75,3.45,9,356,48,18,40.12,5,38,59.09,55.79,23.07,Excellent,Medium,Moderate,4.16210295728368,-6.57
60,25,Male,2.28,9.29,1.43,1.13,0.54,5.64,13,108,39,17,43.88,3,59,53.82,49.32,8.739999999999998,Excellent,Medium,Low,25.877192982456144,8.14
61,26,Female,6.23,4.57,1.85,0.26,0.96,2.19,4,284,60,9,87.03,2,90,59.62,71.05,5.26,Poor,High,Low,14.446227929373995,3.880000000000001
62,21,Female,9.06,9.27,0.76,2.81,1.15,0.05,5,77,70,3,81.91,1,96,55.64,99.9,4.7700000000000005,Excellent,High,Low,10.596026490066224,15.103333333333332
63,18,Male,0.95,7.9,6.32,6.7,4.32,0.12,1,198,4,0,45.17,7,91,58.43,38.16,17.46,Good,Low,Moderate,95.78947368421053,-8.526666666666667
64,20,Female,5.4,5.98,2.72,0.62,1.32,2.89,14,195,68,18,52.43,3,64,73.41,54.77,7.550000000000001,Poor,High,Low,11.851851851851851,3.676666666666666
65,28,Female,4.78,4.37,7.03,4.73,3.07,1.69,6,82,70,13,56.21,4,83,68.27,46.46,16.520000000000003,Poor,High,Moderate,17.364016736401673,-9.446666666666669
66,28,Female,9.32,4.4,10.76,0.41,4.06,1.02,8,218,72,13,74.06,5,75,67.53,59.32,16.25,Poor,High,Moderate,8.047210300429184,-10.049999999999999
67,23,Male,6.81,7.16,4.26,4.01,3.3,3.45,1,96,83,7,58.8,4,32,41.54,51.14,15.02,Good,High,Moderate,4.698972099853157,-1.9333333333333336
68,28,Female,3.82,5.91,0.56,1.04,3.96,0.62,6,49,21,4,53.12,8,42,72.73,38.85,6.180000000000001,Poor,Low,High,10.99476439790576,-1.660000000000001
69,29,Female,7.26,7.17,10.73,4.86,5.4,3.65,14,3,90,4,58.03,7,70,68.99,51.57,24.64,Good,High,Moderate,9.641873278236915,-14.3
70,24,Male,6.04,5.31,7.65,2.48,5.8,5.41,6,220,108,6,98.34,3,79,83.71,60.03,21.34,Poor,High,Low,13.079470198675496,-10.120000000000001
71,19,Female,3.8,4.61,2.82,2.97,4.1,0.54,11,492,66,7,62.86,6,35,83.66,33.07,10.43,Poor,High,Moderate,9.210526315789474,-5.009999999999998
72,17,Male,7.96,8.86,8.46,0.5,1.12,5.85,2,411,112,13,83.09,7,47,93.49,59.44,15.930000000000001,Excellent,High,Moderate,5.9045226130653266,-1.4766666666666683
73,20,Male,6.85,9.44,7.78,6.21,5.88,3.42,10,413,40,16,65.56,10,51,54.73,52.53,23.29,Excellent,Medium,High,7.445255474452555,-13.076666666666668
74,18,Male,0.55,7.94,4.87,4.82,0.42,1.34,12,280,118,17,45.37,4,66,58.32,34.07,11.450000000000001,Good,High,Moderate,119.99999999999999,4.3633333333333315
75,24,Male,8.72,4.13,2.94,4.65,5.57,2.38,6,365,27,12,47.19,4,92,54.6,70.89,15.54,Poor,Low,Moderate,10.55045871559633,-10.379999999999999
76,20,Female,4.27,3.65,11.91,5.26,2.71,2.82,9,361,95,10,66.84,5,72,72.49,31.49,22.700000000000003,Poor,High,Moderate,16.861826697892273,-17.233333333333334
77,18,Male,6.63,6.77,7.89,5.31,5.05,0.5,13,274,99,0,89.31,2,41,84.7,53.44,18.75,Good,High,Low,6.184012066365008,-3.91
78,22,Female,4.27,6.85,0.52,2.82,2.04,4.15,13,476,4,11,55.97,5,98,66.77,65.22,9.530000000000001,Good,Low,Moderate,22.95081967213115,-0.696666666666669
79,22,Male,8.87,7.47,1.94,2.2,3.37,5.42,13,454,57,8,72.38,6,50,94.99,70.49,12.93,Good,Medium,Moderate,5.636978579481399,-2.09
80,26,Female,6.68,9.34,3.35,2.38,0.85,5.21,13,179,75,16,78.98,7,88,52.82,76.09,11.79,Excellent,High,Moderate,13.173652694610778,2.3900000000000006
81,20,Female,6.0,7.53,9.85,6.49,5.43,2.6,10,365,113,7,96.03,4,54,54.87,52.74,24.37,Good,High,Moderate,9.0,-9.543333333333333
82,22,Female,9.81,9.41,5.96,1.36,1.8,0.1,1,488,29,19,67.86,1,87,55.21,89.91,9.22,Excellent,Low,Low,8.868501529051988,9.566666666666665
83,29,Female,3.17,3.82,1.19,3.89,1.57,5.88,14,462,1,18,60.05,8,53,65.29,34.07,12.530000000000001,Poor,Low,High,16.7192429022082,-12.85666666666667
84,18,Female,1.12,7.96,3.55,5.01,2.67,0.51,1,365,70,16,76.14,6,33,65.49,30.86,11.739999999999998,Good,High,Moderate,29.46428571428571,0.5133333333333354
85,26,Male,5.4,9.49,11.78,4.13,2.19,4.58,12,165,94,18,57.81,10,38,95.75,34.47,22.68,Excellent,High,High,7.037037037037036,-10.566666666666666
86,28,Female,4.53,6.24,9.33,4.43,0.83,1.85,13,143,68,1,62.71,10,31,41.67,24.44,16.44,Good,High,High,6.84326710816777,-11.693333333333335
87,18,Female,4.82,9.77,0.55,6.71,0.15,5.33,11,402,24,1,64.13,2,63,53.58,68.65,12.74,Excellent,Low,Low,13.070539419087137,5.6
88,26,Female,6.39,6.87,10.15,2.64,1.93,5.43,1,145,52,14,65.34,3,47,60.35,46.0,20.15,Good,Medium,Low,7.355242566510173,-7.676666666666666
89,20,Female,6.34,9.6,2.71,2.77,4.32,2.26,4,210,110,12,48.14,7,36,56.99,54.53,12.06,Excellent,High,Moderate,5.678233438485805,3.8066666666666666
90,24,Female,4.23,8.24,4.3,1.33,1.13,2.06,14,460,109,14,46.38,3,88,78.6,60.05,8.82,Excellent,High,Low,20.803782505910164,8.293333333333333
91,23,Male,8.7,6.2,1.86,6.0,1.03,5.42,10,190,80,9,64.74,5,96,61.54,81.19,14.31,Good,High,Moderate,11.03448275862069,-4.243333333333334
92,28,Female,6.69,3.24,0.62,1.66,3.19,4.0,14,102,56,14,44.73,5,35,84.11,43.55,9.469999999999999,Poor,Medium,Moderate,5.23168908819133,-6.123333333333331
93,25,Male,8.95,7.6,6.3,4.16,4.03,0.12,3,365,29,6,67.26,3,33,82.85,61.03,14.610000000000001,Good,Low,Low,3.687150837988827,-1.443333333333337
94,24,Male,9.17,4.78,3.79,6.83,5.92,0.63,4,16,93,6,96.71,3,62,78.47,72.59,17.169999999999998,Poor,High,Low,6.761177753544166,-7.509999999999998
95,21,Female,2.09,5.02,4.64,0.79,0.5,0.73,6,327,26,10,74.98,1,53,91.54,37.03,6.66,Poor,Low,Low,25.35885167464115,3.246666666666666
96,29,Male,6.97,3.14,2.44,1.35,2.78,5.99,10,64,54,8,40.64,8,37,76.24,38.29,12.56,Poor,Medium,High,5.308464849354376,-12.48
97,18,Male,3.52,6.9,9.77,1.47,5.81,1.86,14,268,42,10,69.4,6,71,99.38,39.5,18.91,Good,Medium,Moderate,20.170454545454547,-9.709999999999999
98,21,Female,8.45,5.03,2.5,1.08,3.86,1.07,10,174,90,18,46.6,1,92,45.73,76.0,8.51,Poor,High,Low,10.887573964497042,3.5500000000000007
99,24,Female,7.46,9.88,6.45,7.56,3.9,5.83,11,497,28,2,68.01,9,70,88.65,66.13,23.740000000000002,Excellent,Low,High,9.383378016085791,-12.046666666666667
100,26,Female,2.39,8.24,5.9,5.92,5.39,2.13,1,155,21,2,98.46,6,74,56.78,50.18,19.34,Excellent,Low,Moderate,30.962343096234306,-8.16
101,25,Female,9.42,5.5,11.08,3.64,2.04,1.27,5,81,46,11,96.86,3,40,78.46,56.71,18.03,Poor,Medium,Low,4.246284501061571,-8.496666666666668
102,28,Other,6.99,5.06,11.86,2.38,3.29,4.4,10,305,95,8,65.43,2,99,95.92,58.87,21.93,Poor,High,Low,14.163090128755364,-10.643333333333334
103,28,Male,9.51,8.0,10.92,0.92,2.81,4.64,1,250,118,11,95.38,4,71,69.63,72.82,19.29,Excellent,High,Moderate,7.465825446898002,-3.3566666666666656
104,28,Female,2.42,4.78,8.94,0.19,2.05,5.21,8,382,105,1,43.82,6,45,63.3,17.82,16.39,Poor,High,Moderate,18.59504132231405,-9.33
105,29,Male,8.76,6.14,5.45,5.2,5.3,0.7,14,173,75,13,49.25,7,48,94.63,55.27,16.65,Good,High,Moderate,5.47945205479452,-8.87
106,25,Male,6.85,4.12,2.0,4.04,2.51,1.4,5,105,32,0,51.51,3,57,83.2,54.76,9.950000000000001,Poor,Medium,Low,8.321167883211679,-3.6433333333333344
107,29,Female,5.75,4.78,10.5,4.74,0.85,5.11,10,312,68,11,43.21,1,59,50.42,39.49,21.2,Poor,High,Low,10.26086956521739,-10.373333333333331
108,29,Female,8.29,3.69,8.74,1.34,0.93,4.4,8,167,82,7,76.88,9,56,95.7,46.21,15.41,Poor,High,High,6.7551266586248495,-14.296666666666667
109,17,Male,6.51,5.99,2.02,4.71,0.69,4.17,6,267,33,13,74.84,4,87,83.65,70.71,11.59,Poor,Medium,Moderate,13.36405529953917,-2.51
110,25,Male,6.86,9.49,1.51,1.64,4.47,3.74,14,375,48,18,74.92,7,66,75.4,72.47,11.36,Excellent,Medium,Moderate,9.620991253644315,2.2200000000000024
111,23,Female,2.91,3.71,8.25,0.33,5.77,5.31,8,185,27,10,55.74,4,95,44.34,38.44,19.66,Poor,Low,Moderate,32.64604810996563,-15.34
112,25,Female,8.26,6.06,10.92,6.98,1.45,2.12,13,60,98,19,79.28,5,33,78.69,46.21,21.47,Good,High,Moderate,3.9951573849878934,-11.083333333333332
113,24,Female,6.68,5.09,2.96,6.62,0.3,4.74,6,222,13,19,42.89,8,81,86.45,56.07,14.620000000000001,Poor,Low,High,12.125748502994012,-12.006666666666668
114,17,Male,8.52,5.54,5.24,4.71,0.76,2.09,8,486,69,1,53.73,8,38,71.98,49.37,12.799999999999999,Poor,High,High,4.460093896713615,-7.42
115,28,Female,3.84,8.4,11.59,7.32,4.43,4.76,10,471,110,19,96.94,3,93,88.38,56.8,28.1,Excellent,High,Low,24.21875,-10.633333333333333
116,24,Male,3.65,6.05,11.38,6.18,4.78,0.85,1,59,81,0,40.88,5,41,45.07,21.91,23.190000000000005,Good,High,Moderate,11.232876712328768,-13.390000000000004
117,24,Male,0.73,7.55,8.54,2.2,2.09,3.79,14,15,20,7,47.51,1,58,49.87,28.84,16.619999999999997,Good,Low,Low,79.45205479452055,-1.8533333333333317
118,27,Female,7.8,9.81,5.95,7.32,0.05,1.54,13,101,104,14,98.22,7,59,46.49,71.71,14.86,Excellent,High,Moderate,7.564102564102564,1.2266666666666666
119,19,Female,3.64,7.32,4.79,3.11,5.2,1.44,6,322,47,1,88.44,7,70,72.17,50.89,14.540000000000001,Good,Medium,Moderate,19.23076923076923,-5.333333333333334
120,17,Male,3.61,5.36,5.0,7.87,0.55,0.16,11,272,68,8,82.87,8,72,92.84,43.8,13.580000000000002,Poor,High,High,19.94459833795014,-8.593333333333334
121,24,Male,7.04,5.78,6.31,5.58,0.92,5.38,1,181,32,9,97.36,3,77,52.94,66.98,18.19,Poor,Medium,Low,10.9375,-8.563333333333334
122,19,Female,2.9,7.87,8.41,1.67,1.48,4.24,11,350,69,15,50.63,1,96,96.43,52.09,15.8,Good,High,Low,33.10344827586207,1.2399999999999984
123,19,Male,9.14,7.86,6.38,3.16,3.81,5.2,8,91,22,14,67.77,8,50,46.95,62.61,18.55,Good,Low,High,5.470459518599562,-10.096666666666668
124,17,Male,5.61,5.58,3.14,5.32,2.1,4.75,5,366,64,11,50.49,5,47,75.14,45.94,15.31,Poor,High,Moderate,8.37789661319073,-7.0166666666666675
125,27,Male,9.71,8.07,9.16,6.31,0.27,2.37,13,356,29,19,84.48,10,77,52.15,70.43,18.11,Excellent,Low,High,7.929969104016477,-11.003333333333334
126,21,Male,1.23,6.85,5.71,4.61,4.56,4.33,4,109,19,14,91.0,7,40,85.52,28.43,19.21,Good,Low,Moderate,32.520325203252035,-11.876666666666669
127,26,Male,3.7,9.86,7.09,5.92,3.32,0.56,3,373,60,7,91.72,1,88,55.63,67.11,16.889999999999997,Excellent,High,Low,23.783783783783782,3.830000000000002
128,23,Female,4.12,9.36,9.42,3.85,4.98,4.25,6,65,70,17,65.74,4,57,99.14,46.33,22.5,Excellent,High,Moderate,13.83495145631068,-5.446666666666669
129,26,Female,7.44,8.77,4.92,2.28,0.39,5.56,14,407,76,17,87.44,6,67,94.19,70.94,13.149999999999999,Excellent,High,Moderate,9.00537634408602,0.923333333333332
130,25,Female,2.52,3.24,11.19,5.64,5.71,5.63,8,380,64,16,97.39,7,50,51.89,19.66,28.169999999999998,Poor,High,Moderate,19.841269841269842,-26.556666666666665
131,28,Female,4.07,5.66,6.37,6.6,0.62,1.51,11,496,61,18,77.13,2,95,98.67,57.37,15.099999999999998,Poor,High,Low,23.34152334152334,-3.7466666666666644
132,23,Female,9.15,7.01,8.59,2.54,3.35,3.22,3,355,115,0,91.17,5,70,44.74,70.29,17.7,Good,High,Moderate,7.6502732240437155,-4.846666666666668
133,25,Female,1.59,6.65,9.18,3.42,3.12,0.9,1,492,77,8,86.55,8,43,90.46,23.0,16.619999999999997,Good,High,High,27.044025157232703,-8.75333333333333
134,24,Female,7.58,8.34,4.69,2.7,5.35,3.87,14,414,44,5,59.12,3,44,53.3,61.96,16.61,Excellent,Medium,Low,5.804749340369393,-1.4633333333333347
135,28,Male,7.17,9.36,3.47,1.16,3.37,1.77,7,120,118,1,94.79,1,38,62.2,70.91,9.77,Excellent,High,Low,5.299860529986053,11.883333333333333
136,18,Female,1.74,8.51,11.12,6.13,1.67,2.91,9,43,1,5,90.64,2,66,77.49,40.11,21.830000000000002,Excellent,Low,Low,37.93103448275862,-6.776666666666667
137,17,Male,7.04,4.54,4.11,4.08,1.03,0.32,10,102,81,13,54.44,3,43,96.48,49.24,9.540000000000001,Poor,High,Low,6.107954545454546,-0.7599999999999998
138,23,Female,5.91,6.4,1.76,1.3,1.56,1.97,12,115,94,2,44.49,2,33,55.33,49.41,6.59,Good,High,Low,5.583756345177665,7.343333333333334
139,23,Female,3.23,5.76,6.2,2.77,1.62,5.8,12,131,59,16,70.56,5,45,81.78,33.8,16.39,Poor,Medium,Moderate,13.93188854489164,-7.903333333333334
140,24,Female,3.46,8.36,9.98,5.93,1.27,4.24,14,92,119,17,52.1,10,69,69.02,35.07,21.42,Excellent,High,High,19.942196531791907,-10.733333333333334
141,21,Female,8.41,9.27,3.74,3.03,1.4,1.39,3,415,119,12,69.54,3,65,86.24,78.08,9.56,Excellent,High,Low,7.728894173602853,9.946666666666667
142,19,Male,2.69,5.01,6.18,0.57,5.14,0.21,7,16,81,11,92.56,8,75,99.32,39.51,12.100000000000001,Poor,High,High,27.881040892193308,-7.380000000000003
143,28,Male,5.37,6.42,4.66,0.84,5.22,4.0,9,395,119,16,44.28,1,39,96.81,45.43,14.719999999999999,Good,High,Low,7.262569832402234,1.086666666666666
144,24,Male,6.97,8.12,0.78,7.98,3.19,5.53,12,338,112,2,48.63,3,31,61.4,59.16,17.48,Excellent,High,Low,4.447632711621234,-0.5066666666666677
145,22,Male,1.73,3.35,2.08,3.42,5.49,3.51,5,129,116,6,50.3,4,38,61.76,23.03,14.5,Poor,High,Moderate,21.965317919075144,-7.933333333333334
146,27,Male,9.36,9.74,9.67,5.09,3.03,2.59,4,270,45,8,90.29,9,62,46.08,69.76,20.38,Excellent,Medium,High,6.623931623931624,-8.399999999999999
147,19,Male,2.98,8.6,11.25,4.95,3.6,4.96,11,362,86,4,45.22,5,79,91.24,39.11,24.76,Excellent,High,Moderate,26.51006711409396,-9.693333333333335
148,17,Male,3.53,6.8,0.55,1.33,5.96,3.06,1,441,73,16,58.65,10,94,54.75,55.59,10.9,Good,High,High,26.628895184135978,-4.866666666666669
149,19,Other,6.83,8.45,10.4,3.19,2.24,5.33,8,379,15,6,42.32,6,62,66.69,49.65,21.16,Excellent,Low,Moderate,9.077598828696924,-9.760000000000002
150,21,Male,1.24,8.85,8.82,5.72,3.77,3.99,1,404,7,0,86.34,4,44,78.72,32.62,22.299999999999997,Excellent,Low,Moderate,35.483870967741936,-8.366666666666664
151,19,Male,6.46,6.46,8.38,3.4,4.1,0.29,12,307,86,6,78.45,9,58,95.82,47.27,16.17,Good,High,High,8.978328173374614,-9.383333333333335
152,17,Male,9.2,6.08,5.45,4.71,3.57,3.72,8,290,0,18,51.05,8,64,42.85,61.4,17.45,Good,Low,High,6.9565217391304355,-13.29
153,21,Female,2.87,8.86,4.31,2.97,1.89,2.44,5,191,89,4,53.83,8,90,72.17,52.29,11.61,Excellent,High,High,31.358885017421603,1.076666666666668
154,26,Male,3.94,9.02,5.22,2.12,5.53,3.05,6,246,2,18,47.1,1,66,86.27,54.56,15.920000000000002,Excellent,Low,Low,16.751269035532996,1.1866666666666639
155,23,Female,2.71,3.87,7.42,0.15,5.38,3.76,14,326,49,8,70.78,9,76,97.52,30.24,16.71,Poor,Medium,High,28.04428044280443,-16.336666666666666
156,23,Male,8.28,9.35,11.39,3.39,5.71,4.87,3,65,82,16,45.91,10,88,56.44,61.42,25.360000000000003,Excellent,High,High,10.628019323671499,-13.92666666666667
157,27,Female,2.09,4.94,2.88,3.17,2.28,1.27,9,280,112,6,50.05,6,91,56.26,42.53,9.6,Poor,High,Moderate,43.54066985645933,-1.9866666666666664
