house_id,monthly_units,house_type,city,family_members,rooms,ac_count,refrigerator,washing_machine,geyser,laptop_count,tv_count,work_from_home,solar_panel,electricity_bill,total_appliances,units_per_member,bill_per_unit,room_density,consumption_category,energy_efficiency_score
21,849,Independent House,Tier_3,3,5,3,0,0,1,0,1,Yes,Yes,8536.71,5,283.0,10.055017667844522,0.6,Very High,0.0
22,423,Independent House,Tier_3,1,2,1,0,1,1,3,2,Yes,No,5756.61,8,423.0,13.609007092198581,0.5,High,0.0
23,571,Apartment,Tier_3,4,5,2,1,1,0,4,2,No,Yes,6377.2,10,142.75,11.16847635726795,0.8,High,0.0
24,493,Villa,Tier_1,1,1,2,1,1,1,2,3,Yes,Yes,5970.21,10,493.0,12.109959432048681,1.0,High,0.0
25,885,Independent House,Tier_2,7,2,1,1,1,1,3,3,Yes,Yes,8257.8,10,126.42857142857143,9.330847457627117,3.5,Very High,4.691525423728834
26,465,Apartment,Tier_3,1,3,2,0,0,1,3,3,Yes,Yes,5164.68,9,465.0,11.10683870967742,0.3333333333333333,High,0.0
27,271,Independent House,Tier_1,2,4,3,1,1,0,4,1,Yes,No,6020.62,10,135.5,22.21630996309963,0.5,Medium,0.0
28,356,Apartment,Tier_3,3,5,1,0,0,1,0,2,Yes,Yes,3813.74,4,118.66666666666667,10.712752808988764,0.6,Medium,0.0
29,240,Independent House,Tier_3,4,6,2,1,1,0,3,2,Yes,No,5141.75,9,60.0,21.423958333333335,0.6666666666666666,Medium,0.0
30,539,Villa,Tier_3,6,4,3,1,0,1,3,3,Yes,No,8631.55,11,89.83333333333333,16.01400742115028,1.5,High,0.0
31,393,Independent House,Tier_3,3,2,3,0,1,1,4,3,Yes,No,7735.53,12,131.0,19.68328244274809,1.5,Medium,0.0
32,101,Apartment,Tier_3,3,4,0,1,1,0,1,2,Yes,No,2600.84,5,33.666666666666664,25.75089108910891,0.75,Low,0.0
33,332,Independent House,Tier_1,4,6,0,1,1,1,4,3,No,Yes,2714.99,10,83.0,8.177680722891566,0.6666666666666666,Medium,18.223192771084342
34,827,Villa,Tier_3,7,6,0,1,0,1,0,3,No,Yes,6070.3,5,118.14285714285714,7.340145102781137,1.1666666666666667,Very High,26.598548972188624
35,640,Villa,Tier_1,4,6,1,1,0,0,2,3,Yes,No,6667.71,7,160.0,10.418296875,0.6666666666666666,Very High,0.0
36,554,Villa,Tier_3,2,6,3,0,0,0,2,3,No,Yes,6407.16,8,277.0,11.565270758122743,0.3333333333333333,High,0.0
37,138,Villa,Tier_2,7,1,1,1,1,1,3,2,No,Yes,2655.04,9,19.714285714285715,19.239420289855072,7.0,Low,0.0
38,590,Apartment,Tier_1,5,6,1,0,0,1,3,2,Yes,No,6262.11,7,118.0,10.613745762711863,0.8333333333333334,High,0.0
39,761,Independent House,Tier_3,2,2,1,0,1,1,3,2,Yes,Yes,7148.93,8,380.5,9.394126149802892,1.0,Very High,4.058738501971078
40,555,Villa,Tier_1,7,2,1,0,0,1,2,1,Yes,No,7071.22,5,79.28571428571429,12.740936936936937,3.5,High,0.0
41,779,Independent House,Tier_3,7,5,1,1,1,1,2,2,Yes,Yes,6954.74,8,111.28571428571429,8.92777920410783,1.4,Very High,8.7222079589217
42,862,Apartment,Tier_3,6,2,2,0,0,0,0,3,No,Yes,7630.12,5,143.66666666666666,8.851647331786543,3.0,Very High,7.483526682134567
43,269,Independent House,Tier_1,4,1,0,1,1,0,1,2,Yes,No,2714.08,5,67.25,10.089516728624535,4.0,Medium,0.0
44,766,Independent House,Tier_3,1,5,1,1,0,0,1,3,No,Yes,4999.22,6,766.0,6.526396866840732,0.2,Very High,32.736031331592685
45,642,Villa,Tier_3,1,1,2,1,1,0,3,2,No,No,7494.36,9,642.0,11.673457943925234,1.0,Very High,0.0
46,646,Villa,Tier_3,3,3,2,1,1,0,0,2,Yes,No,7551.09,6,215.33333333333334,11.688993808049537,1.0,Very High,0.0
47,323,Apartment,Tier_3,3,5,3,0,1,1,1,3,Yes,Yes,5790.74,9,107.66666666666667,17.92798761609907,0.6,Medium,0.0
48,584,Independent House,Tier_3,5,2,1,0,1,0,3,1,No,Yes,4455.3,6,116.8,7.628938356164384,2.5,High,21.710616438356155
49,210,Apartment,Tier_3,7,2,0,0,0,0,1,1,Yes,Yes,610.92,2,30.0,2.909142857142857,3.5,Medium,70.90857142857143
50,564,Apartment,Tier_1,5,2,3,1,1,1,1,1,Yes,No,8052.15,8,112.8,14.27686170212766,2.5,High,0.0
51,898,Apartment,Tier_2,5,3,1,0,1,1,2,1,No,Yes,6991.21,6,179.6,7.785311804008908,1.6666666666666667,Very High,20.146881959910914
52,726,Villa,Tier_3,5,1,3,1,0,1,0,2,Yes,Yes,7299.53,7,145.2,10.054449035812672,5.0,Very High,0.0
53,100,Villa,Tier_1,1,2,0,1,1,1,2,2,Yes,No,3022.61,7,100.0,30.226100000000002,0.5,Low,0.0
54,246,Independent House,Tier_2,7,6,0,1,0,0,3,3,No,No,2421.99,7,35.142857142857146,9.845487804878047,1.1666666666666667,Medium,1.545121951219528
55,353,Independent House,Tier_1,4,4,1,0,1,1,1,2,No,No,5279.33,6,88.25,14.955609065155807,1.0,Medium,0.0
56,467,Independent House,Tier_2,6,6,0,0,0,1,2,2,No,No,5028.21,5,77.83333333333333,10.767044967880086,1.0,High,0.0
57,680,Villa,Tier_2,6,2,0,0,1,1,2,1,Yes,Yes,4382.68,5,113.33333333333333,6.445117647058824,3.0,Very High,35.54882352941176
58,395,Villa,Tier_2,5,5,0,1,0,0,2,2,No,No,4082.33,5,79.0,10.335012658227848,1.0,Medium,0.0
59,93,Apartment,Tier_1,7,5,1,1,0,1,1,2,Yes,Yes,1565.98,6,13.285714285714286,16.838494623655915,1.4,Low,0.0
60,321,Villa,Tier_2,2,4,3,1,0,0,1,1,No,Yes,4113.72,6,160.5,12.815327102803739,0.5,Medium,0.0
61,856,Apartment,Tier_3,6,3,3,0,1,0,3,2,Yes,Yes,8681.97,9,142.66666666666666,10.142488317757008,2.0,Very High,0.0
62,425,Apartment,Tier_3,5,5,3,1,1,1,2,2,No,No,7617.69,10,85.0,17.923976470588233,1.0,High,0.0
63,644,Villa,Tier_2,1,3,3,1,1,0,1,1,Yes,Yes,7067.84,7,644.0,10.974906832298137,0.3333333333333333,Very High,0.0
64,419,Apartment,Tier_2,3,3,3,0,0,0,3,3,No,No,6134.5,9,139.66666666666666,14.640811455847256,1.0,High,0.0
65,171,Apartment,Tier_3,2,4,3,1,1,0,3,3,Yes,No,5904.03,11,85.5,34.52649122807017,0.5,Low,0.0
66,446,Independent House,Tier_1,5,5,3,0,0,1,2,2,Yes,No,7614.27,8,89.2,17.072354260089686,1.0,High,0.0
67,534,Apartment,Tier_1,1,6,0,1,0,1,3,2,No,Yes,4242.25,7,534.0,7.944288389513108,0.16666666666666666,High,20.557116104868925
68,507,Villa,Tier_3,3,2,3,0,1,0,4,1,No,No,7557.71,9,169.0,14.9067258382643,1.5,High,0.0
69,588,Villa,Tier_1,5,6,0,0,1,1,0,2,No,No,5448.03,4,117.6,9.265357142857143,0.8333333333333334,High,7.346428571428575
70,855,Apartment,Tier_1,1,6,2,0,0,0,3,3,No,Yes,7502.11,8,855.0,8.774397660818712,0.16666666666666666,Very High,8.256023391812874
71,114,Independent House,Tier_2,1,6,1,0,1,0,0,2,No,Yes,1332.9,4,114.0,11.692105263157895,0.16666666666666666,Low,0.0
72,285,Villa,Tier_1,4,3,0,1,1,0,3,1,Yes,No,3263.5,6,71.25,11.450877192982457,1.3333333333333333,Medium,0.0
73,160,Villa,Tier_3,1,3,1,0,1,1,2,3,Yes,No,4752.33,8,160.0,29.7020625,0.3333333333333333,Low,0.0
74,641,Independent House,Tier_1,5,5,1,1,1,1,0,3,No,No,7413.58,7,128.2,11.565647425897035,1.0,Very High,0.0
75,467,Apartment,Tier_2,7,5,2,0,1,1,0,2,No,No,6639.28,6,66.71428571428571,14.216873661670235,1.4,High,0.0
76,81,Villa,Tier_3,1,6,3,0,0,1,0,1,No,No,3741.87,5,81.0,46.19592592592593,0.16666666666666666,Low,0.0
77,469,Apartment,Tier_3,2,4,2,1,1,1,0,2,No,No,7318.81,7,234.5,15.605138592750533,0.5,High,0.0
78,645,Apartment,Tier_3,1,1,0,1,0,1,3,1,No,Yes,4769.76,6,645.0,7.394976744186047,1.0,Very High,26.050232558139527
79,185,Apartment,Tier_2,1,6,0,1,0,0,0,3,Yes,Yes,467.23,4,185.0,2.5255675675675677,0.16666666666666666,Low,74.74432432432432
80,851,Apartment,Tier_3,6,6,0,0,0,0,2,3,Yes,No,6576.21,5,141.83333333333334,7.727626321974148,1.0,Very High,22.72373678025852
81,556,Villa,Tier_2,2,1,1,1,1,1,2,2,No,Yes,6272.63,8,278.0,11.281708633093526,2.0,High,0.0
82,782,Independent House,Tier_2,5,1,3,1,1,1,4,3,No,Yes,9610.96,13,156.4,12.290230179028132,5.0,Very High,0.0
83,481,Villa,Tier_1,3,3,3,0,1,1,2,3,No,No,7768.48,10,160.33333333333334,16.15068607068607,1.0,High,0.0
84,809,Independent House,Tier_3,4,4,3,0,1,0,3,2,No,Yes,7962.84,9,202.25,9.842818294190359,1.0,Very High,0.0
85,635,Apartment,Tier_1,6,1,2,0,1,1,2,1,Yes,No,8714.99,7,105.83333333333333,13.7243937007874,6.0,Very High,0.0
86,241,Independent House,Tier_1,3,6,2,1,0,0,1,3,No,Yes,3178.54,7,80.33333333333333,13.18896265560166,0.5,Medium,0.0
87,281,Apartment,Tier_2,5,5,0,0,0,1,0,1,No,No,2685.61,2,56.2,9.557330960854094,1.0,Medium,4.426690391459061
88,349,Villa,Tier_1,5,6,3,1,0,1,2,3,No,Yes,4904.43,10,69.8,14.052808022922637,0.8333333333333334,Medium,0.0
89,895,Villa,Tier_1,6,3,3,1,0,1,3,3,Yes,Yes,9789.32,11,149.16666666666666,10.937787709497206,2.0,Very High,0.0
90,350,Independent House,Tier_1,2,3,2,0,1,0,2,3,Yes,No,5141.25,8,175.0,14.689285714285715,0.6666666666666666,Medium,0.0
91,535,Apartment,Tier_3,3,6,1,0,0,1,3,2,Yes,No,6004.46,7,178.33333333333334,11.223289719626168,0.5,High,0.0
92,541,Apartment,Tier_1,1,5,3,0,1,0,1,3,Yes,No,7828.9,8,541.0,14.471164510166357,0.2,High,0.0
93,806,Independent House,Tier_2,2,4,0,1,0,1,0,1,Yes,No,7299.76,3,403.0,9.056774193548387,0.5,Very High,9.432258064516134
94,331,Apartment,Tier_3,2,4,3,1,1,0,1,3,No,Yes,5396.51,9,165.5,16.303655589123867,0.5,Medium,0.0
95,781,Apartment,Tier_2,4,1,2,1,0,0,1,2,No,Yes,6841.1,6,195.25,8.759411011523689,4.0,Very High,8.405889884763113
96,375,Apartment,Tier_3,2,5,3,0,1,1,4,3,Yes,No,8007.65,12,187.5,21.35373333333333,0.4,Medium,0.0
97,804,Villa,Tier_3,3,2,0,1,0,0,0,1,Yes,No,6204.14,2,268.0,7.716592039800996,1.5,Very High,22.83407960199004
98,799,Villa,Tier_3,5,4,1,1,1,1,1,2,Yes,No,8598.78,7,159.8,10.761927409261578,1.25,Very High,0.0
99,828,Villa,Tier_2,6,1,1,0,1,1,1,2,Yes,Yes,7629.12,6,138.0,9.21391304347826,6.0,Very High,5.860869565217399
100,417,Apartment,Tier_1,4,3,0,0,0,1,0,2,No,No,3491.82,3,104.25,8.373669064748201,1.3333333333333333,High,16.263309352517993
101,132,Villa,Tier_3,6,4,0,1,0,1,1,1,Yes,Yes,1123.06,4,22.0,8.508030303030303,1.5,Low,14.919696969696972
102,871,Apartment,Tier_2,6,2,3,0,0,0,2,1,Yes,No,9618.47,6,145.16666666666666,11.043019517795637,3.0,Very High,0.0
103,296,Apartment,Tier_3,1,3,3,0,1,0,2,3,No,No,5797.46,9,296.0,19.586013513513514,0.3333333333333333,Medium,0.0
104,843,Independent House,Tier_1,7,3,2,0,1,0,2,1,Yes,Yes,8108.01,6,120.42857142857143,9.618042704626335,2.3333333333333335,Very High,0.0
105,267,Apartment,Tier_3,3,5,1,1,1,1,0,3,Yes,No,4827.05,7,89.0,18.07883895131086,0.6,Medium,0.0
106,459,Villa,Tier_2,1,5,1,1,0,0,2,2,No,No,5519.71,6,459.0,12.025511982570807,0.2,High,0.0
107,572,Villa,Tier_3,7,6,0,1,1,1,1,1,Yes,Yes,4165.55,5,81.71428571428571,7.28243006993007,1.1666666666666667,High,27.175699300699293
108,120,Apartment,Tier_2,7,4,2,0,1,0,2,3,Yes,No,3247.19,8,17.142857142857142,27.059916666666666,1.75,Low,0.0
109,236,Villa,Tier_1,2,2,3,0,1,0,4,2,No,No,5434.31,10,118.0,23.026737288135596,1.0,Medium,0.0
110,94,Apartment,Tier_1,3,5,0,0,0,0,0,3,No,No,1999.43,3,31.333333333333332,21.270531914893617,0.6,Low,0.0
111,892,Independent House,Tier_3,6,1,0,0,0,0,3,1,No,No,6395.42,4,148.66666666666666,7.1697533632287,6.0,Very High,28.30246636771301
112,144,Apartment,Tier_1,7,3,0,1,0,0,2,3,No,Yes,797.05,6,20.571428571428573,5.535069444444444,2.3333333333333335,Low,44.64930555555556
113,600,Apartment,Tier_2,4,1,1,0,0,0,4,3,No,Yes,5102.19,8,150.0,8.503649999999999,4.0,Very High,12.96350000000001
114,423,Independent House,Tier_3,6,3,3,0,1,1,2,2,No,No,7550.93,9,70.5,17.850898345153666,2.0,High,0.0
115,208,Villa,Tier_2,4,1,3,1,0,0,3,2,No,Yes,4020.37,9,52.0,19.328701923076924,4.0,Medium,0.0
116,727,Independent House,Tier_3,1,3,0,0,0,1,3,3,Yes,Yes,5758.19,7,727.0,7.920481430536451,0.3333333333333333,Very High,20.795185694635492
117,551,Independent House,Tier_2,5,5,0,0,0,1,4,1,Yes,Yes,4027.31,6,110.2,7.309092558983666,1.0,High,26.909074410163342
118,142,Apartment,Tier_3,7,1,2,1,0,0,3,2,No,No,4196.16,8,20.285714285714285,29.550422535211265,7.0,Low,0.0
119,218,Apartment,Tier_2,6,4,3,1,1,0,2,1,No,No,5194.57,8,36.333333333333336,23.828302752293578,1.5,Medium,0.0
120,578,Independent House,Tier_2,4,4,0,0,1,1,4,3,No,No,6771.58,9,144.5,11.71553633217993,1.0,High,0.0
121,672,Villa,Tier_3,1,2,2,0,0,1,4,3,No,No,8273.49,10,672.0,12.311741071428571,0.5,Very High,0.0
122,471,Independent House,Tier_2,5,2,0,0,0,0,1,3,No,No,4366.34,4,94.2,9.270360934182591,2.5,High,7.29639065817409
123,754,Villa,Tier_1,3,6,1,0,1,0,0,1,Yes,No,6696.12,3,251.33333333333334,8.880795755968169,0.5,Very High,9.192042440318318
124,498,Independent House,Tier_2,4,2,0,0,1,1,3,1,Yes,Yes,3423.84,6,124.5,6.8751807228915665,2.0,High,31.248192771084334
125,368,Independent House,Tier_3,4,1,1,1,1,0,1,1,No,No,4899.88,5,92.0,13.314891304347826,4.0,Medium,0.0
126,458,Villa,Tier_1,6,3,3,1,0,1,2,1,Yes,No,6927.25,8,76.33333333333333,15.125,2.0,High,0.0
127,852,Independent House,Tier_1,6,6,0,0,0,1,0,2,Yes,No,7061.39,3,142.0,8.288016431924882,1.0,Very High,17.11983568075118
128,569,Apartment,Tier_2,1,2,3,1,0,0,2,1,Yes,No,7391.69,7,569.0,12.99066783831283,0.5,High,0.0
129,310,Independent House,Tier_2,4,5,3,0,0,0,1,1,No,Yes,3719.82,5,77.5,11.999419354838711,0.8,Medium,0.0
130,120,Apartment,Tier_2,7,4,3,1,1,1,1,3,No,Yes,3734.76,10,17.142857142857142,31.123,1.75,Low,0.0
131,107,Villa,Tier_1,1,4,1,1,0,1,1,3,No,No,3137.82,7,107.0,29.325420560747666,0.25,Low,0.0
132,214,Villa,Tier_1,4,5,3,1,0,1,0,2,No,No,5553.97,7,53.5,25.953130841121496,0.8,Medium,0.0
133,280,Apartment,Tier_1,1,4,3,0,1,1,0,2,No,No,5947.77,7,280.0,21.242035714285716,0.25,Medium,0.0
134,859,Independent House,Tier_3,7,1,1,1,0,0,1,2,Yes,No,7654.91,5,122.71428571428571,8.911420256111757,7.0,Very High,8.885797438882435
135,112,Apartment,Tier_3,7,5,0,1,0,0,3,3,Yes,No,2638.04,7,16.0,23.55392857142857,1.4,Low,0.0
136,127,Apartment,Tier_2,4,1,3,1,0,0,4,3,No,No,5496.98,11,31.75,43.28330708661417,4.0,Low,0.0
137,582,Villa,Tier_3,3,6,2,0,0,0,3,1,No,Yes,5306.49,6,194.0,9.117680412371133,0.5,High,4.823195876288679
138,486,Apartment,Tier_3,6,4,1,1,0,1,1,3,Yes,Yes,4806.63,7,81.0,9.890185185185185,1.5,High,0.0
139,653,Independent House,Tier_2,3,5,1,1,1,0,3,3,No,Yes,5912.47,9,217.66666666666666,9.054318529862176,0.6,Very High,7.456814701378249
140,807,Apartment,Tier_2,7,5,0,1,1,1,1,1,Yes,No,6886.17,5,115.28571428571429,8.533048327137546,1.4,Very High,14.66951672862453
141,884,Villa,Tier_1,1,6,2,0,0,0,1,2,No,No,8048.37,5,884.0,9.104490950226245,0.16666666666666666,Very High,4.955090497737558
142,178,Independent House,Tier_1,7,6,1,0,1,0,1,3,Yes,Yes,2727.14,6,25.428571428571427,15.321011235955055,1.1666666666666667,Low,0.0
143,763,Villa,Tier_2,3,6,0,1,0,0,2,2,Yes,No,5770.15,5,254.33333333333334,7.562450851900393,0.5,Very High,24.375491480996075
144,805,Apartment,Tier_2,1,5,3,0,1,0,3,2,Yes,No,9918.72,9,805.0,12.321391304347825,0.2,Very High,0.0
145,626,Apartment,Tier_3,6,4,3,0,1,0,1,3,No,No,8095.06,8,104.33333333333333,12.931405750798723,1.5,Very High,0.0
146,818,Villa,Tier_3,7,4,1,1,0,0,2,1,Yes,No,7205.2,5,116.85714285714286,8.808312958435208,1.75,Very High,9.91687041564792
147,692,Villa,Tier_3,1,4,0,1,1,1,1,2,Yes,No,6473.53,6,692.0,9.354812138728324,0.25,Very High,6.451878612716769
148,541,Independent House,Tier_2,6,2,3,1,0,0,3,2,Yes,No,7432.12,9,90.16666666666667,13.737744916820702,3.0,High,0.0
149,722,Villa,Tier_2,2,2,3,0,0,1,1,1,Yes,Yes,7976.44,6,361.0,11.04770083102493,1.0,Very High,0.0
150,848,Villa,Tier_1,3,3,0,1,1,0,2,1,No,Yes,5577.84,5,282.6666666666667,6.577641509433962,1.0,Very High,34.223584905660374
151,84,Apartment,Tier_3,2,5,3,1,1,0,3,3,No,No,5503.88,11,42.0,65.52238095238096,0.4,Low,0.0
152,297,Apartment,Tier_1,7,4,3,0,1,0,4,3,Yes,Yes,4982.38,11,42.42857142857143,16.775690235690234,1.75,Medium,0.0
153,582,Villa,Tier_2,6,5,2,0,0,0,2,2,No,Yes,5575.4,6,97.0,9.579725085910653,1.2,High,0.20274914089347362
154,846,Villa,Tier_3,6,6,0,0,1,0,1,1,Yes,Yes,5763.85,3,141.0,6.813061465721041,1.0,Very High,31.8693853427896
155,477,Apartment,Tier_1,2,1,3,0,1,0,3,3,No,No,7949.11,10,238.5,16.664800838574422,2.0,High,0.0
156,874,Independent House,Tier_2,7,1,2,0,1,0,4,2,No,Yes,8746.66,9,124.85714285714286,10.00762013729977,7.0,Very High,0.0
157,472,Independent House,Tier_1,6,4,3,0,0,0,1,2,No,Yes,5147.34,6,78.66666666666667,10.905381355932203,1.5,High,0.0
158,286,Independent House,Tier_3,4,2,0,0,0,0,0,3,Yes,No,2310.12,3,71.5,8.077342657342657,2.0,Medium,19.226573426573438
159,94,Independent House,Tier_1,1,3,0,0,1,0,1,3,No,No,1039.66,5,94.0,11.060212765957449,0.3333333333333333,Low,0.0
160,633,Apartment,Tier_1,5,2,3,1,1,0,4,2,No,Yes,6936.86,11,126.6,10.95870458135861,2.5,Very High,0.0
161,540,Villa,Tier_2,2,5,1,0,1,0,2,3,Yes,No,5418.21,7,270.0,10.033722222222222,0.4,High,0.0
162,770,Independent House,Tier_3,4,2,2,1,0,0,4,1,Yes,Yes,7295.57,8,192.5,9.474766233766234,2.0,Very High,1.2523376623376663
163,654,Apartment,Tier_1,3,4,3,1,0,1,1,3,No,No,8634.03,9,218.0,13.201880733944956,0.75,Very High,0.0
164,822,Villa,Tier_2,5,6,1,1,1,0,2,2,Yes,No,7911.36,7,164.4,9.624525547445256,0.8333333333333334,Very High,1.7547445255474372
165,320,Independent House,Tier_3,6,6,2,1,0,1,3,1,No,Yes,4734.01,8,53.333333333333336,14.79378125,1.0,Medium,0.0
166,643,Villa,Tier_2,1,2,2,0,1,1,2,3,Yes,No,8522.83,9,643.0,13.254790046656298,0.5,Very High,0.0
167,175,Independent House,Tier_3,4,1,1,1,1,1,1,2,Yes,Yes,2877.71,7,43.75,16.444057142857144,4.0,Low,0.0
168,813,Villa,Tier_2,5,4,2,0,0,1,1,2,No,Yes,6541.93,6,162.6,8.046654366543665,1.25,Very High,15.533456334563354
169,564,Independent House,Tier_2,1,4,2,1,0,1,2,1,Yes,No,7006.14,7,564.0,12.422234042553193,0.25,High,0.0
170,486,Independent House,Tier_2,1,4,3,1,0,1,2,1,No,No,7563.69,8,486.0,15.563148148148148,0.25,High,0.0
171,310,Villa,Tier_1,5,2,1,1,0,0,2,3,Yes,No,4250.0,7,62.0,13.709677419354838,2.5,Medium,0.0
172,828,Villa,Tier_1,4,1,3,1,0,0,1,3,Yes,No,9529.18,8,207.0,11.508671497584542,4.0,Very High,0.0
173,734,Villa,Tier_2,6,2,3,0,0,0,0,1,Yes,No,8161.75,4,122.33333333333333,11.119550408719347,3.0,Very High,0.0
174,250,Apartment,Tier_3,5,5,2,1,0,1,2,1,No,Yes,3044.55,7,50.0,12.1782,1.0,Medium,0.0
175,620,Apartment,Tier_2,2,6,1,0,0,1,2,1,No,No,6462.52,5,310.0,10.42341935483871,0.3333333333333333,Very High,0.0
176,115,Villa,Tier_1,1,3,0,1,0,0,3,3,No,No,2965.49,7,115.0,25.78686956521739,0.3333333333333333,Low,0.0
177,604,Apartment,Tier_3,3,3,1,0,0,0,4,2,Yes,No,5793.94,7,201.33333333333334,9.592615894039735,1.0,Very High,2.0738410596026426
178,239,Independent House,Tier_1,6,6,2,0,0,1,3,1,Yes,Yes,3478.84,7,39.833333333333336,14.55581589958159,1.0,Medium,0.0
179,778,Villa,Tier_2,7,3,0,0,0,0,0,1,No,Yes,3857.6,1,111.14285714285714,4.958354755784062,2.3333333333333335,Very High,50.41645244215938
180,322,Apartment,Tier_1,7,6,3,1,1,0,2,3,Yes,Yes,5728.81,10,46.0,17.79133540372671,1.1666666666666667,Medium,0.0
181,165,Villa,Tier_1,5,5,0,0,1,1,1,1,No,Yes,1131.62,4,33.0,6.85830303030303,1.0,Low,31.4169696969697
182,875,Independent House,Tier_1,5,5,0,1,1,0,0,3,No,No,7621.84,5,175.0,8.710674285714285,1.0,Very High,12.893257142857152
183,657,Independent House,Tier_2,1,5,1,0,0,1,1,1,Yes,No,6750.76,4,657.0,10.275129375951295,0.2,Very High,0.0
184,761,Apartment,Tier_1,1,1,3,0,0,0,2,1,Yes,No,8349.33,6,761.0,10.971524310118266,1.0,Very High,0.0
185,636,Independent House,Tier_2,5,4,1,1,1,0,4,3,Yes,No,7693.77,10,127.2,12.097122641509435,1.25,Very High,0.0
186,653,Villa,Tier_2,7,6,0,1,1,1,1,3,No,Yes,5143.44,7,93.28571428571429,7.876630934150076,1.1666666666666667,Very High,21.233690658499242
187,725,Apartment,Tier_1,3,5,2,1,0,0,3,1,Yes,No,7746.37,7,241.66666666666666,10.684648275862068,0.6,Very High,0.0
188,875,Villa,Tier_3,1,3,2,0,1,1,3,1,Yes,Yes,8059.38,8,875.0,9.21072,0.3333333333333333,Very High,3.892799999999994
189,107,Villa,Tier_1,1,6,0,0,1,0,1,2,No,No,2661.07,4,107.0,24.869813084112153,0.16666666666666666,Low,0.0
190,699,Villa,Tier_1,2,3,2,0,0,1,3,3,No,Yes,7103.49,9,349.5,10.16236051502146,0.6666666666666666,Very High,0.0
191,635,Independent House,Tier_1,4,6,2,1,0,0,0,3,No,No,6770.37,6,158.75,10.661999999999999,0.6666666666666666,Very High,0.0
192,419,Villa,Tier_3,2,6,1,0,0,1,0,3,No,Yes,3935.55,5,209.5,9.392720763723151,0.3333333333333333,High,4.072792362768496
193,877,Independent House,Tier_3,3,2,3,1,0,0,2,3,No,No,9761.23,9,292.3333333333333,11.130250855188141,1.5,Very High,0.0
194,410,Villa,Tier_2,7,4,2,0,0,0,1,3,No,Yes,4079.87,6,58.57142857142857,9.95090243902439,1.75,High,0.0
195,719,Independent House,Tier_3,4,5,3,0,0,1,0,2,No,Yes,7480.96,6,179.75,10.404673157162726,0.8,Very High,0.0
