house_id,monthly_units,house_type,city,family_members,rooms,ac_count,refrigerator,washing_machine,geyser,laptop_count,tv_count,work_from_home,solar_panel,electricity_bill
94,331,Apartment,Tier_3,2,4,3,1,1,0,1,3,No,Yes,5396.51
95,781,Apartment,Tier_2,4,1,2,1,0,0,1,2,No,Yes,6841.1
96,375,Apartment,Tier_3,2,5,3,0,1,1,4,3,Yes,No,8007.65
97,804,Villa,Tier_3,3,2,0,1,0,0,0,1,Yes,No,6204.14
98,799,Villa,Tier_3,5,4,1,1,1,1,1,2,Yes,No,8598.78
99,828,Villa,Tier_2,6,1,1,0,1,1,1,2,Yes,Yes,7629.12
100,417,Apartment,Tier_1,4,3,0,0,0,1,0,2,No,No,3491.82
101,132,Villa,Tier_3,6,4,0,1,0,1,1,1,Yes,Yes,1123.06
102,871,Apartment,Tier_2,6,2,3,0,0,0,2,1,Yes,No,9618.47
103,296,Apartment,Tier_3,1,3,3,0,1,0,2,3,No,No,5797.46
104,843,Independent House,Tier_1,7,3,2,0,1,0,2,1,Yes,Yes,8108.01
105,267,Apartment,Tier_3,3,5,1,1,1,1,0,3,Yes,No,4827.05
106,459,Villa,Tier_2,1,5,1,1,0,0,2,2,No,No,5519.71
107,572,Villa,Tier_3,7,6,0,1,1,1,1,1,Yes,Yes,4165.55
108,120,Apartment,Tier_2,7,4,2,0,1,0,2,3,Yes,No,3247.19
109,236,Villa,Tier_1,2,2,3,0,1,0,4,2,No,No,5434.31
110,94,Apartment,Tier_1,3,5,0,0,0,0,0,3,No,No,1999.43
111,892,Independent House,Tier_3,6,1,0,0,0,0,3,1,No,No,6395.42
112,144,Apartment,Tier_1,7,3,0,1,0,0,2,3,No,Yes,797.05
113,600,Apartment,Tier_2,4,1,1,0,0,0,4,3,No,Yes,5102.19
114,423,Independent House,Tier_3,6,3,3,0,1,1,2,2,No,No,7550.93
115,208,Villa,Tier_2,4,1,3,1,0,0,3,2,No,Yes,4020.37
116,727,Independent House,Tier_3,1,3,0,0,0,1,3,3,Yes,Yes,5758.19
117,551,Independent House,Tier_2,5,5,0,0,0,1,4,1,Yes,Yes,4027.31
118,142,Apartment,Tier_3,7,1,2,1,0,0,3,2,No,No,4196.16
119,218,Apartment,Tier_2,6,4,3,1,1,0,2,1,No,No,5194.57
120,578,Independent House,Tier_2,4,4,0,0,1,1,4,3,No,No,6771.58
121,672,Villa,Tier_3,1,2,2,0,0,1,4,3,No,No,8273.49
122,471,Independent House,Tier_2,5,2,0,0,0,0,1,3,No,No,4366.34
123,754,Villa,Tier_1,3,6,1,0,1,0,0,1,Yes,No,6696.12
124,498,Independent House,Tier_2,4,2,0,0,1,1,3,1,Yes,Yes,3423.84
125,368,Independent House,Tier_3,4,1,1,1,1,0,1,1,No,No,4899.88
126,458,Villa,Tier_1,6,3,3,1,0,1,2,1,Yes,No,6927.25
127,852,Independent House,Tier_1,6,6,0,0,0,1,0,2,Yes,No,7061.39
128,569,Apartment,Tier_2,1,2,3,1,0,0,2,1,Yes,No,7391.69
129,310,Independent House,Tier_2,4,5,3,0,0,0,1,1,No,Yes,3719.82
130,120,Apartment,Tier_2,7,4,3,1,1,1,1,3,No,Yes,3734.76
131,107,Villa,Tier_1,1,4,1,1,0,1,1,3,No,No,3137.82
132,214,Villa,Tier_1,4,5,3,1,0,1,0,2,No,No,5553.97
133,280,Apartment,Tier_1,1,4,3,0,1,1,0,2,No,No,5947.77
134,859,Independent House,Tier_3,7,1,1,1,0,0,1,2,Yes,No,7654.91
135,112,Apartment,Tier_3,7,5,0,1,0,0,3,3,Yes,No,2638.04
136,127,Apartment,Tier_2,4,1,3,1,0,0,4,3,No,No,5496.98
137,582,Villa,Tier_3,3,6,2,0,0,0,3,1,No,Yes,5306.49
138,486,Apartment,Tier_3,6,4,1,1,0,1,1,3,Yes,Yes,4806.63
139,653,Independent House,Tier_2,3,5,1,1,1,0,3,3,No,Yes,5912.47
140,807,Apartment,Tier_2,7,5,0,1,1,1,1,1,Yes,No,6886.17
141,884,Villa,Tier_1,1,6,2,0,0,0,1,2,No,No,8048.37
142,178,Independent House,Tier_1,7,6,1,0,1,0,1,3,Yes,Yes,2727.14
143,763,Villa,Tier_2,3,6,0,1,0,0,2,2,Yes,No,5770.15
144,805,Apartment,Tier_2,1,5,3,0,1,0,3,2,Yes,No,9918.72
145,626,Apartment,Tier_3,6,4,3,0,1,0,1,3,No,No,8095.06
146,818,Villa,Tier_3,7,4,1,1,0,0,2,1,Yes,No,7205.2
147,692,Villa,Tier_3,1,4,0,1,1,1,1,2,Yes,No,6473.53
148,541,Independent House,Tier_2,6,2,3,1,0,0,3,2,Yes,No,7432.12
149,722,Villa,Tier_2,2,2,3,0,0,1,1,1,Yes,Yes,7976.44
150,848,Villa,Tier_1,3,3,0,1,1,0,2,1,No,Yes,5577.84
151,84,Apartment,Tier_3,2,5,3,1,1,0,3,3,No,No,5503.88
152,297,Apartment,Tier_1,7,4,3,0,1,0,4,3,Yes,Yes,4982.38
153,582,Villa,Tier_2,6,5,2,0,0,0,2,2,No,Yes,5575.4
154,846,Villa,Tier_3,6,6,0,0,1,0,1,1,Yes,Yes,5763.85
155,477,Apartment,Tier_1,2,1,3,0,1,0,3,3,No,No,7949.11
156,874,Independent House,Tier_2,7,1,2,0,1,0,4,2,No,Yes,8746.66
157,472,Independent House,Tier_1,6,4,3,0,0,0,1,2,No,Yes,5147.34
158,286,Independent House,Tier_3,4,2,0,0,0,0,0,3,Yes,No,2310.12
159,94,Independent House,Tier_1,1,3,0,0,1,0,1,3,No,No,1039.66
160,633,Apartment,Tier_1,5,2,3,1,1,0,4,2,No,Yes,6936.86
161,540,Villa,Tier_2,2,5,1,0,1,0,2,3,Yes,No,5418.21
162,770,Independent House,Tier_3,4,2,2,1,0,0,4,1,Yes,Yes,7295.57
163,654,Apartment,Tier_1,3,4,3,1,0,1,1,3,No,No,8634.03
164,822,Villa,Tier_2,5,6,1,1,1,0,2,2,Yes,No,7911.36
165,320,Independent House,Tier_3,6,6,2,1,0,1,3,1,No,Yes,4734.01
166,643,Villa,Tier_2,1,2,2,0,1,1,2,3,Yes,No,8522.83
167,175,Independent House,Tier_3,4,1,1,1,1,1,1,2,Yes,Yes,2877.71
168,813,Villa,Tier_2,5,4,2,0,0,1,1,2,No,Yes,6541.93
169,564,Independent House,Tier_2,1,4,2,1,0,1,2,1,Yes,No,7006.14
170,486,Independent House,Tier_2,1,4,3,1,0,1,2,1,No,No,7563.69
171,310,Villa,Tier_1,5,2,1,1,0,0,2,3,Yes,No,4250.0
172,828,Villa,Tier_1,4,1,3,1,0,0,1,3,Yes,No,9529.18
173,734,Villa,Tier_2,6,2,3,0,0,0,0,1,Yes,No,8161.75
174,250,Apartment,Tier_3,5,5,2,1,0,1,2,1,No,Yes,3044.55
175,620,Apartment,Tier_2,2,6,1,0,0,1,2,1,No,No,6462.52
176,115,Villa,Tier_1,1,3,0,1,0,0,3,3,No,No,2965.49
177,604,Apartment,Tier_3,3,3,1,0,0,0,4,2,Yes,No,5793.94
178,239,Independent House,Tier_1,6,6,2,0,0,1,3,1,Yes,Yes,3478.84
179,778,Villa,Tier_2,7,3,0,0,0,0,0,1,No,Yes,3857.6
180,322,Apartment,Tier_1,7,6,3,1,1,0,2,3,Yes,Yes,5728.81
181,165,Villa,Tier_1,5,5,0,0,1,1,1,1,No,Yes,1131.62
182,875,Independent House,Tier_1,5,5,0,1,1,0,0,3,No,No,7621.84
183,657,Independent House,Tier_2,1,5,1,0,0,1,1,1,Yes,No,6750.76
184,761,Apartment,Tier_1,1,1,3,0,0,0,2,1,Yes,No,8349.33
185,636,Independent House,Tier_2,5,4,1,1,1,0,4,3,Yes,No,7693.77
186,653,Villa,Tier_2,7,6,0,1,1,1,1,3,No,Yes,5143.44
187,725,Apartment,Tier_1,3,5,2,1,0,0,3,1,Yes,No,7746.37
188,875,Villa,Tier_3,1,3,2,0,1,1,3,1,Yes,Yes,8059.38
189,107,Villa,Tier_1,1,6,0,0,1,0,1,2,No,No,2661.07
190,699,Villa,Tier_1,2,3,2,0,0,1,3,3,No,Yes,7103.49
191,635,Independent House,Tier_1,4,6,2,1,0,0,0,3,No,No,6770.37
192,419,Villa,Tier_3,2,6,1,0,0,1,0,3,No,Yes,3935.55
193,877,Independent House,Tier_3,3,2,3,1,0,0,2,3,No,No,9761.23
194,410,Villa,Tier_2,7,4,2,0,0,0,1,3,No,Yes,4079.87
195,719,Independent House,Tier_3,4,5,3,0,0,1,0,2,No,Yes,7480.96
196,585,Independent House,Tier_3,7,4,3,1,1,1,2,3,Yes,No,9267.26
197,427,Independent House,Tier_1,5,5,1,0,0,0,0,2,No,No,4603.58
198,552,Villa,Tier_2,7,3,0,1,0,0,3,1,No,No,4615.84
199,310,Villa,Tier_2,3,4,2,0,0,0,1,3,No,Yes,3137.43
200,269,Independent House,Tier_3,3,4,2,1,1,1,2,2,Yes,Yes,5322.89
201,304,Villa,Tier_3,2,5,1,1,0,1,3,2,Yes,No,5154.63
202,464,Independent House,Tier_1,4,5,1,1,0,0,0,1,No,No,4736.16
203,456,Villa,Tier_3,3,4,0,0,0,1,4,2,No,Yes,3893.55
204,362,Independent House,Tier_3,4,6,3,1,0,1,4,3,No,No,7460.86
205,712,Independent House,Tier_2,7,5,0,0,1,0,4,1,Yes,No,6770.2
206,707,Apartment,Tier_3,6,4,2,1,0,1,2,1,Yes,No,7567.1
207,824,Villa,Tier_1,7,2,1,0,0,1,1,1,No,Yes,6628.45
208,338,Villa,Tier_2,5,4,1,1,0,0,3,1,No,No,4143.66
209,438,Apartment,Tier_2,4,1,3,1,0,0,2,1,No,No,6354.45
210,789,Independent House,Tier_3,2,4,2,0,1,1,4,1,Yes,No,9508.37
211,535,Independent House,Tier_1,7,6,1,1,0,1,1,2,No,No,6039.72
212,490,Apartment,Tier_2,2,2,1,0,1,1,1,3,Yes,No,6045.46
213,728,Apartment,Tier_1,3,2,1,1,1,0,2,2,No,No,7558.93
214,397,Independent House,Tier_1,4,6,1,0,0,0,1,3,Yes,No,4502.31
215,756,Villa,Tier_3,7,3,2,0,0,1,4,3,Yes,No,8425.55
216,304,Apartment,Tier_1,2,6,3,0,0,0,2,1,No,Yes,3967.15
217,898,Apartment,Tier_2,1,3,0,1,1,1,3,3,Yes,No,8596.35
218,313,Apartment,Tier_3,2,1,0,0,1,0,2,3,Yes,Yes,2334.19
219,763,Apartment,Tier_2,5,5,3,0,0,0,0,2,Yes,No,8528.36
220,743,Apartment,Tier_1,1,5,3,1,0,0,0,3,Yes,Yes,7323.88
221,453,Apartment,Tier_1,4,2,2,1,0,1,4,3,No,Yes,5872.95
222,751,Independent House,Tier_3,6,2,0,0,1,1,3,1,Yes,Yes,6198.94
223,687,Independent House,Tier_3,3,3,3,0,1,1,0,2,No,Yes,8322.29
224,551,Apartment,Tier_2,1,2,1,1,1,0,4,3,Yes,Yes,5286.36
225,312,Independent House,Tier_2,2,4,2,0,1,1,3,3,Yes,Yes,4760.55
226,771,Villa,Tier_1,7,4,3,1,1,1,0,3,No,Yes,8525.86
227,192,Villa,Tier_3,7,1,0,1,1,0,3,1,No,No,1977.35
228,576,Apartment,Tier_1,3,4,1,0,0,1,1,3,Yes,Yes,5171.89
229,521,Villa,Tier_1,6,1,3,1,0,0,2,3,Yes,Yes,6449.84
230,643,Villa,Tier_2,6,3,0,1,1,1,2,1,Yes,Yes,4996.06
231,347,Independent House,Tier_2,3,4,2,0,1,1,4,3,Yes,No,6372.09
232,589,Independent House,Tier_2,3,1,0,0,1,0,3,2,No,No,5885.53
233,886,Independent House,Tier_3,3,5,0,1,1,0,3,3,No,Yes,7163.56
234,465,Independent House,Tier_2,4,1,0,1,1,0,1,3,Yes,No,4149.34
235,466,Villa,Tier_3,4,6,2,1,1,0,3,1,No,No,6275.08
236,192,Apartment,Tier_1,4,4,3,0,0,0,3,1,Yes,No,4498.27
237,692,Independent House,Tier_3,7,1,3,0,1,0,3,2,No,No,8523.73
238,704,Villa,Tier_2,2,6,1,1,0,0,1,2,Yes,No,6854.32
239,160,Independent House,Tier_3,4,3,3,0,1,0,1,3,No,No,4947.49
240,778,Villa,Tier_3,3,2,2,1,0,1,1,2,No,Yes,7803.86
241,192,Independent House,Tier_2,1,5,0,1,0,0,3,2,No,Yes,1781.83
242,81,Apartment,Tier_2,1,3,2,0,1,1,3,2,Yes,No,4236.06
243,721,Independent House,Tier_1,6,5,0,1,1,1,2,2,Yes,Yes,5668.02
244,299,Apartment,Tier_3,1,5,3,0,1,1,3,1,Yes,Yes,5293.66
245,645,Independent House,Tier_1,1,6,1,1,1,1,4,3,Yes,No,8587.97
246,815,Independent House,Tier_1,1,1,1,0,1,0,1,2,No,No,7234.55
247,304,Independent House,Tier_3,6,2,3,0,0,1,3,1,Yes,Yes,5281.73
248,464,Villa,Tier_1,5,1,0,0,0,0,1,2,No,No,3993.12
249,482,Villa,Tier_3,7,1,3,0,0,1,1,1,Yes,No,6525.62
250,717,Apartment,Tier_1,1,4,2,0,1,1,4,3,No,Yes,7562.79
251,209,Apartment,Tier_1,1,1,3,1,0,1,1,2,No,Yes,4415.02
252,132,Villa,Tier_3,1,2,3,0,1,1,1,1,Yes,Yes,4010.55
253,763,Apartment,Tier_2,7,3,0,1,1,1,1,2,No,No,7113.68
254,809,Apartment,Tier_3,6,6,3,0,0,0,2,1,No,Yes,7271.86
255,751,Villa,Tier_2,2,1,2,1,0,0,2,2,Yes,Yes,5983.52
256,789,Villa,Tier_3,5,2,3,0,0,0,3,3,No,Yes,7498.29
257,495,Villa,Tier_3,7,1,2,0,0,0,2,2,Yes,No,6021.3
258,326,Villa,Tier_2,1,6,3,0,0,0,3,1,Yes,No,6138.41
259,518,Independent House,Tier_2,6,5,0,1,1,0,2,3,No,No,5744.58
260,282,Villa,Tier_3,6,6,1,0,1,0,4,1,No,Yes,3092.02
261,263,Apartment,Tier_3,4,1,1,1,0,1,1,3,No,Yes,3058.1
262,202,Independent House,Tier_3,7,4,2,1,1,0,4,1,Yes,Yes,2958.56
263,480,Independent House,Tier_2,7,5,3,1,0,0,3,3,No,Yes,6274.85
264,846,Apartment,Tier_3,2,2,0,1,1,1,3,2,No,Yes,5935.41
265,373,Independent House,Tier_2,6,6,3,0,0,0,0,3,Yes,No,5241.31
266,359,Apartment,Tier_1,6,1,0,1,0,0,2,1,No,No,3199.0
267,689,Independent House,Tier_2,5,5,0,0,1,0,2,2,Yes,No,5975.87
268,277,Independent House,Tier_1,4,5,3,1,0,1,4,2,Yes,No,6908.24
269,590,Apartment,Tier_3,4,3,3,1,1,1,2,2,No,Yes,7371.94
270,831,Apartment,Tier_3,2,5,1,1,1,0,4,1,Yes,Yes,7403.96
271,223,Apartment,Tier_2,6,6,3,0,1,1,2,2,No,No,5541.45
272,688,Apartment,Tier_1,4,2,1,0,1,1,1,3,Yes,No,7940.1
273,280,Villa,Tier_3,3,1,2,1,1,0,3,2,No,No,5459.56
274,203,Villa,Tier_3,2,6,1,0,0,1,2,3,No,Yes,1951.89
275,266,Apartment,Tier_1,2,5,1,1,1,1,1,3,Yes,No,4493.64
276,405,Villa,Tier_3,3,2,0,1,0,1,0,3,No,Yes,2425.24
277,543,Apartment,Tier_3,2,3,0,1,0,1,0,1,No,No,5480.44
278,428,Apartment,Tier_2,4,1,1,0,0,0,4,3,No,Yes,4180.31
279,850,Independent House,Tier_3,4,4,2,1,0,0,1,2,Yes,Yes,7601.48
280,739,Apartment,Tier_1,7,5,0,0,0,1,0,1,Yes,No,5665.26
281,843,Apartment,Tier_3,4,5,2,1,1,0,4,3,No,Yes,8700.94
282,482,Apartment,Tier_2,3,3,1,1,0,1,4,2,Yes,No,5619.85
283,425,Apartment,Tier_3,7,2,3,0,0,0,0,2,No,No,5694.05
284,590,Independent House,Tier_1,4,3,1,0,0,0,0,3,Yes,Yes,3754.67
285,226,Apartment,Tier_3,3,2,3,0,0,1,2,2,Yes,Yes,4727.64
286,227,Independent House,Tier_1,3,1,0,0,0,0,3,3,Yes,Yes,2334.3
287,790,Apartment,Tier_2,3,5,0,1,1,0,0,3,Yes,Yes,5950.34
288,899,Independent House,Tier_3,7,4,0,1,0,1,2,3,Yes,Yes,7416.89
289,568,Villa,Tier_3,2,3,0,0,0,0,4,2,No,No,4212.02
290,719,Independent House,Tier_2,5,6,1,0,0,0,4,1,Yes,No,7119.97
291,630,Independent House,Tier_1,6,4,1,1,1,0,1,3,Yes,No,6522.57
292,417,Apartment,Tier_1,3,4,0,1,0,1,1,3,No,Yes,2847.61
293,720,Independent House,Tier_3,4,5,2,1,1,0,2,1,Yes,No,8509.45
294,858,Independent House,Tier_1,3,5,3,0,1,0,0,2,No,No,9254.62
295,552,Apartment,Tier_1,6,6,0,0,1,0,4,1,No,No,4970.19
296,230,Villa,Tier_3,1,4,0,1,1,0,4,2,Yes,Yes,2512.4
297,494,Villa,Tier_1,2,1,0,1,1,0,1,2,Yes,No,5038.03
298,377,Villa,Tier_1,4,6,2,1,0,1,2,3,No,Yes,4794.08
299,690,Independent House,Tier_3,2,4,0,1,1,0,0,2,Yes,Yes,4498.58
300,342,Apartment,Tier_3,2,2,3,0,1,1,0,3,No,No,6768.45
301,843,Villa,Tier_1,1,6,3,1,0,1,1,2,No,No,9735.53
302,223,Villa,Tier_3,3,2,1,1,0,0,0,1,No,Yes,1875.59
303,425,Villa,Tier_1,4,2,2,1,0,0,2,2,Yes,No,5943.81
304,703,Villa,Tier_1,5,2,1,1,1,1,4,1,No,No,8374.18
305,651,Apartment,Tier_1,2,3,2,0,1,1,1,2,Yes,Yes,7147.17
306,81,Villa,Tier_1,6,1,2,0,0,1,0,1,No,Yes,1964.67
307,383,Independent House,Tier_3,5,3,3,0,0,1,4,2,No,Yes,6129.26
308,333,Independent House,Tier_3,5,3,0,0,1,1,3,2,No,Yes,2589.51
309,731,Apartment,Tier_2,7,2,3,1,1,0,1,3,No,Yes,8143.46
310,532,Villa,Tier_3,3,1,1,1,0,0,1,1,No,No,5454.94
311,116,Villa,Tier_2,5,1,2,0,1,1,3,1,Yes,Yes,3434.77
312,239,Independent House,Tier_1,4,4,1,1,0,1,2,2,Yes,Yes,2881.37
313,88,Apartment,Tier_3,3,6,3,0,0,1,1,3,Yes,No,3736.76
314,312,Independent House,Tier_1,6,3,2,1,0,1,4,1,Yes,Yes,5329.96
315,178,Apartment,Tier_2,5,6,0,0,1,0,4,2,Yes,No,2404.07
316,738,Apartment,Tier_3,3,6,2,0,0,1,1,1,Yes,Yes,7062.24
317,895,Apartment,Tier_3,4,1,1,1,0,0,2,2,No,Yes,7342.79
318,287,Independent House,Tier_3,2,5,1,1,0,1,3,3,No,Yes,3839.12
319,210,Apartment,Tier_3,1,6,1,1,1,0,1,1,Yes,Yes,2768.48
320,483,Independent House,Tier_1,3,3,1,0,0,1,1,3,Yes,Yes,3618.44
321,231,Independent House,Tier_3,6,6,2,0,1,1,2,1,Yes,No,5435.87
322,133,Villa,Tier_2,1,1,2,0,0,1,2,3,Yes,Yes,2267.1
323,199,Independent House,Tier_3,7,5,3,0,0,1,4,3,Yes,Yes,4600.22
324,752,Independent House,Tier_2,2,6,3,1,1,0,2,3,Yes,No,10213.57
325,707,Villa,Tier_2,6,5,2,0,0,1,4,2,Yes,No,8262.5
326,666,Villa,Tier_1,4,5,3,0,0,0,1,3,Yes,Yes,6992.68
327,704,Villa,Tier_3,6,2,2,0,0,0,2,2,Yes,No,6525.04
328,499,Apartment,Tier_2,2,4,0,0,1,1,2,2,No,No,5649.17
329,501,Apartment,Tier_3,1,6,2,0,0,0,3,1,No,Yes,4768.74
330,183,Villa,Tier_1,4,6,3,0,0,1,4,3,Yes,No,6778.95
331,333,Apartment,Tier_1,6,4,0,0,0,1,4,2,Yes,No,3254.3
332,306,Villa,Tier_3,5,1,3,1,1,1,2,1,Yes,Yes,5182.04
